Crystals,v_Binding_energy_mean,v_Binding_energy_std,v_Energy_barrier_mean,v_Energy_barrier_std,std,M,UB,LB,CDF
NiBi_mp-1220533_primitive_1-12,0.514369069,0.036025043,0.433846547,0.010223959,0.037447738,-0.080522522,-0.043074785,-0.11797026,9.07246E-06
NiBi_mp-999318_primitive_2-12,0.520387505,0.039791069,0.439736982,0.017388581,0.043424555,-0.080650523,-0.037225968,-0.124075078,0.000107999
NiBi_mp-22861_primitive_210,0.580707806,0.028030692,0.499476668,0.022936376,0.036218739,-0.081231138,-0.045012399,-0.117449877,4.26175E-06
NiSb2_mp-19895_primitive_011,0.446213607,0.056849339,0.364907408,0.019008782,0.059943149,-0.0813062,-0.021363051,-0.141249349,0.003562055
Ta2Ni_mp-1867_primitive_1-11,0.428102289,0.113743212,0.344999395,0.024053689,0.116258755,-0.083102894,0.033155862,-0.199361649,0.080318859
Zn53Ni16_mp-581951_primitive_2-10,0.471699823,0.051384876,0.388571595,0.01257116,0.052900279,-0.083128229,-0.03022795,-0.136028508,0.001022242
NiBi_mp-22861_primitive_101,0.554139858,0.030394182,0.470824528,0.011042044,0.032337796,-0.083315331,-0.050977535,-0.115653126,2.20567E-07
Ni3Sb_mp-10260_primitive_21-2,0.567418802,0.046799856,0.483636767,0.017122848,0.049833908,-0.083782035,-0.033948127,-0.133615943,0.000507099
Cd3Ni_mp-1183624_primitive_221,0.44064098,0.05861288,0.35665952,0.017246244,0.061097484,-0.08398146,-0.022883976,-0.145078945,0.003638101
Zn3Ni_mp-1187948_primitive_210,0.482340427,0.054922942,0.397835165,0.00723467,0.055397383,-0.084505261,-0.029107878,-0.139902645,0.001491185
NiBi_mp-999318_primitive_210,0.517934218,0.036164046,0.433050187,0.011566396,0.037968668,-0.084884031,-0.046915363,-0.122852699,7.03922E-06
Ni5Sb2_mp-2409_primitive_111,0.591305876,0.05927149,0.506369191,0.022220854,0.063299889,-0.084936684,-0.021636796,-0.148236573,0.004585147
Zn53Ni16_mp-581951_primitive_101,0.478277011,0.054164029,0.392533919,0.014551911,0.056084758,-0.085743092,-0.029658334,-0.14182785,0.001562204
